Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/NGPC/Neo Geo Pocket Color Manuals/!!System Manual (SNK Neo Geo Pocket Color).pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2F%21%21System%20Manual%20%28SNK%20Neo%20Geo%20Pocket%20Color%29.pdf,954022,5ed0f76e27afb83f6cfd197a7f09a4e4,,,!!System Manual (SNK Neo Geo Pocket Color).pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Baseball Stars Color.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FBaseball%20Stars%20Color.pdf,3858874,d85a68bd991c4476bd3c8920bbe73306,,,Baseball Stars Color.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Biomotor Unitron.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FBiomotor%20Unitron.pdf,2220701,2ba89dd66504552178c0280a47b23b73,,,Biomotor Unitron.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Bust-A-Move Pocket.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FBust-A-Move%20Pocket.pdf,1394654,7c8f02de698de5a8519f527d5be3667f,,,Bust-A-Move Pocket.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Cool Boarders Pocket.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FCool%20Boarders%20Pocket.pdf,811824,2069232d3250dbd0837cc1aef9fda133,,,Cool Boarders Pocket.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Cotton - Fantastic Night Dreams.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FCotton%20-%20Fantastic%20Night%20Dreams.pdf,946400,ed250b41736ca16fa20b6ab426245e3d,,,Cotton - Fantastic Night Dreams.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Crush Roller.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FCrush%20Roller.pdf,1032392,50a02a15e96adc68cc91ccd5c40b660d,,,Crush Roller.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Dark Arms - Beast Buster 1999.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FDark%20Arms%20-%20Beast%20Buster%201999.pdf,1403965,89b73619614c8ccc93eee10000ec6bb0,,,Dark Arms - Beast Buster 1999.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Dive Alert - Becky's Version.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FDive%20Alert%20-%20Becky%27s%20Version.pdf,2940686,b7d2e5ea861b77262d25b3c6b88d1c1d,,,Dive Alert - Becky's Version.pdf
docs/NGPC/Neo Geo Pocket Color Manuals/Evolution - Eternal Dungeons.pdf,https://archive.org/download/mister-manuals/1999_SNK%20Neo%20Geo%20Pocket%20Color.zip/1999_SNK%20Neo%20Geo%20Pocket%20Color%2FEvolution%20-%20Eternal%20Dungeons.pdf,2478049,513f5fb3160755c7071261ec3d20fb67,,,Evolution - Eternal Dungeons.pdf
